P[kPa],T[°C],v[m3/kg],u[kJ/kg],h[kJ/kg],s[kJ/kg·K]
5000,0,0.0009977,0.04,5.03,0.0001
5000,20,0.0009996,83.61,88.61,0.2954
5000,40,0.0010057,166.92,171.95,0.5705
5000,60,0.0010149,250.29,255.36,0.8287
5000,80,0.0010267000000000002,333.82,338.96,1.0723
5000,100,0.001041,417.65,422.85,1.3034
5000,120,0.0010576,501.91,507.19,1.5236
5000,140,0.0010769,586.8,592.18,1.7344
5000,160,0.0010988,672.55,678.04,1.9374
5000,180,0.001124,759.47,765.09,2.1338
5000,200,0.0011530999999999998,847.92,853.68,2.3251
5000,220,0.0011868,938.39,944.32,2.5127
5000,240,0.0012268,1031.6,1037.7,2.6983
5000,260,0.0012755000000000002,1128.5,1134.9,2.8841
5000,263.94,0.0012862,1148.1,1154.5,2.9207
10000,0,0.0009952,0.12,10.07,0.0003
10000,20,0.0009972999999999998,83.31,93.28,0.2943
10000,40,0.0010035,166.33,176.37,0.5685
10000,60,0.0010127,249.43,259.55,0.826
10000,80,0.0010244000000000002,332.69,342.94,1.0691
10000,100,0.0010385,416.23,426.62,1.2996
10000,120,0.0010549000000000001,500.18,510.73,1.5191
10000,140,0.0010738,584.72,595.45,1.7293
10000,160,0.0010954,670.06,681.01,1.9316
10000,180,0.00112,756.48,767.68,2.1271
10000,200,0.0011482,844.32,855.8,2.3174
10000,220,0.0011809000000000001,934.01,945.82,2.5037
10000,240,0.0012192,1026.2,1038.3,2.6876
10000,260,0.0012652999999999998,1121.6,1134.3,2.871
10000,280,0.0013226,1221.8,1235.0,3.0565
10000,300,0.0013980,1329.4,1343.3,3.2488
10000,311.00,0.0014522,1393.3,1407.9,3.3603
15000,0,0.0009927999999999998,0.18,15.07,0.0004
15000,20,0.0009951,83.01,97.93,0.2932
15000,40,0.0010012999999999999,165.75,180.77,0.5666
15000,60,0.0010105000000000001,248.58,263.74,0.8234
15000,80,0.0010221,331.59,346.92,1.0659
15000,100,0.0010360999999999999,414.85,430.39,1.2958
15000,120,0.0010522,498.5,514.28,1.5148
15000,140,0.0010708,582.69,598.75,1.7243
15000,160,0.001092,667.63,684.01,1.9259
15000,180,0.001116,753.58,770.32,2.1206
15000,200,0.0011435,840.84,858.0,2.31
15000,220,0.0011752000000000002,929.81,947.43,2.4951
15000,240,0.0012120999999999998,1021.0,1039.2,2.6774
15000,260,0.001256,1115.1,1134.0,2.8586
15000,320,0.0014733,1431.9,1454.0,3.4263
15000,340,0.0016311,1567.9,1592.4,3.6555
15000,342.16,0.0016572,1585.5,1610.3,3.6848
20000,0,0.0009904,0.23,20.03,0.0005
20000,20,0.0009929000000000001,82.71,102.57,0.2921
20000,40,0.0009992,165.17,185.16,0.5646
20000,60,0.0010084,247.75,267.92,0.8208
20000,80,0.0010199,330.5,350.9,1.0627
20000,100,0.0010337,413.5,434.17,1.292
20000,120,0.0010496,496.85,517.84,1.5105
20000,140,0.0010679,580.71,602.07,1.7194
20000,160,0.0010886,665.28,687.05,1.9203
20000,180,0.0011122,750.78,773.02,2.1143
20000,200,0.001139,837.49,860.27,2.3027
20000,220,0.0011697,925.77,949.16,2.4867
20000,240,0.0012052999999999999,1016.1,1040.2,2.6676
20000,260,0.0012472000000000002,1109.0,1134.0,2.8469
20000,280,0.0012978,1205.6,1231.5,3.0265
20000,300,0.0013610999999999999,1307.2,1334.4,3.2091
20000,320,0.0014449999999999999,1416.6,1445.5,3.3996
20000,340,0.0015693,1540.2,1571.6,3.6086
20000,360,0.0018248000000000001,1703.6,1740.1,3.8787
20000,365.75,0.0020378,1785.8,1826.6,4.0146
30000,0,0.0009857000000000002,0.29,29.86,0.0003
30000,20,0.0009886,82.11,111.77,0.2897
30000,40,0.0009951,164.05,193.9,0.5607
30000,60,0.0010042,246.14,276.26,0.8156
30000,80,0.0010155,328.4,358.86,1.0564
30000,100,0.001029,410.87,441.74,1.2847
30000,120,0.0010445,493.66,525.0,1.502
30000,140,0.0010623,576.9,608.76,1.7098
30000,160,0.0010823,660.74,693.21,1.9094
30000,180,0.0011049,745.4,778.55,2.102
30000,200,0.0011304,831.11,865.02,2.2888
30000,220,0.0011595000000000002,918.15,952.93,2.4707
30000,240,0.0011926999999999999,1006.9,1042.7,2.6491
30000,260,0.0012314,1097.8,1134.7,2.825
30000,280,0.001277,1191.5,1229.8,3.0001
30000,300,0.0013322000000000002,1288.9,1328.9,3.1761
30000,320,0.0014014000000000001,1391.7,1433.7,3.3558
30000,340,0.0014932,1502.4,1547.1,3.5438
30000,360,0.0016275999999999999,1626.8,1675.6,3.7499
30000,380,0.0018728999999999998,1782.0,1838.2,4.0026
50000,0,0.0009767,0.29,49.13,-0.001
50000,20,0.0009805,80.93,129.95,0.2845
50000,40,0.0009872,161.9,211.25,0.5528
50000,60,0.0009962,243.08,292.88,0.8055
50000,80,0.0010072000000000002,324.42,374.78,1.0442
50000,100,0.0010201000000000001,405.94,456.94,1.2705
50000,120,0.0010349,487.69,539.43,1.4859
50000,140,0.0010517,569.77,622.36,1.6916
50000,160,0.0010704,652.33,705.85,1.8889
50000,180,0.0010914000000000002,735.49,790.06,2.079
50000,200,0.0011149,819.45,875.19,2.2628
50000,220,0.0011412,904.39,961.45,2.4414
50000,240,0.0011708,990.55,1049.1,2.6156
50000,260,0.0012044,1078.2,1138.4,2.7864
50000,280,0.001243,1167.7,1229.9,2.9547
50000,300,0.0012879,1259.6,1324.0,3.1218
50000,320,0.0013409000000000001,1354.3,1421.4,3.2888
50000,340,0.0014049000000000002,1452.9,1523.1,3.4575
50000,360,0.0014847999999999999,1556.5,1630.7,3.6301
50000,380,0.0015884,1667.1,1746.5,3.8102
