T[°C],P[kPa],v[m3/kg],u[kJ/kg],h[kJ/kg],s[kJ/kg·K]
-36.95,60.0,0.31121,209.12,227.79,0.9644
-20,60.0,0.33608000000000005,220.6,240.76,1.0174
-10,60.0,0.35048,227.55,248.58,1.0477
0,60.0,0.36476,234.66,256.54,1.0774
10,60.0,0.37893000000000004,241.92,264.66,1.1066
20,60.0,0.39302,249.35,272.94,1.1353
30,60.0,0.40705,256.95,281.37,1.1636
40,60.0,0.42102,264.71,289.97,1.1915
50,60.0,0.43495,272.64,298.74,1.2191
60,60.0,0.44883,280.73,307.66,1.2463
70,60.0,0.46269,288.99,316.75,1.2732
80,60.0,0.47651000000000004,297.41,326.0,1.2997
90,60.0,0.49032,306.0,335.42,1.326
100,60.0,0.5041,314.74,344.99,1.352
-26.37,100.0,0.19254000000000002,215.19,234.44,0.9518
-20,100.0,0.19841,219.66,239.5,0.9721
-10,100.0,0.20743000000000003,226.75,247.49,1.003
0,100.0,0.2163,233.95,255.58,1.0332
10,100.0,0.22505999999999998,241.3,263.81,1.0628
20,100.0,0.23373000000000002,248.79,272.17,1.0918
30,100.0,0.24233000000000002,256.44,280.68,1.1203
40,100.0,0.25088,264.25,289.34,1.1484
50,100.0,0.25937,272.22,298.16,1.1762
60,100.0,0.26783,280.35,307.13,1.2035
70,100.0,0.27626,288.64,316.26,1.2305
80,100.0,0.28465,297.08,325.55,1.2572
90,100.0,0.29303,305.69,334.99,1.2836
100,100.0,0.30138000000000004,314.46,344.6,1.3096
-18.77,140.0,0.14014000000000001,219.54,239.16,0.9446
-10,140.0,0.14605,225.91,246.36,0.9724
0,140.0,0.15263,233.23,254.6,1.0031
10,140.0,0.15908,240.66,262.93,1.0331
20,140.0,0.16544,248.22,271.38,1.0624
30,140.0,0.17172,255.93,279.97,1.0912
40,140.0,0.17794000000000001,263.79,288.7,1.1195
50,140.0,0.18412,271.79,297.57,1.1474
60,140.0,0.19025,279.96,306.59,1.1749
70,140.0,0.19635,288.28,315.77,1.202
80,140.0,0.20242000000000002,296.75,325.09,1.2288
90,140.0,0.20847,305.38,334.57,1.2553
100,140.0,0.21449000000000001,314.17,344.2,1.2814
-12.73,180.0,0.11041,222.99,242.86,0.9397
-10,180.0,0.11189,225.02,245.16,0.9484
0,180.0,0.11722,232.48,253.58,0.9798
10,180.0,0.1224,240.0,262.04,1.0102
20,180.0,0.12747999999999998,247.64,270.59,1.0399
30,180.0,0.13248,255.41,279.25,1.069
40,180.0,0.13741,263.31,288.05,1.0975
50,180.0,0.1423,271.36,296.98,1.1256
60,180.0,0.14715,279.56,306.05,1.1532
70,180.0,0.15195999999999998,287.91,315.27,1.1805
80,180.0,0.15673,296.42,324.63,1.2074
90,180.0,0.16149000000000002,305.07,334.14,1.2339
100,180.0,0.16622,313.88,343.8,1.2602
-10.09,200.0,0.09987,224.48,244.46,0.9377
-10,200.0,0.09991,224.55,244.54,0.938
0,200.0,0.10480999999999999,232.09,253.05,0.9698
10,200.0,0.10955,239.67,261.58,1.0004
20,200.0,0.11417999999999999,247.35,270.18,1.0303
30,200.0,0.11874000000000001,255.14,278.89,1.0595
40,200.0,0.12322000000000001,263.08,287.72,1.0882
50,200.0,0.12766,271.15,296.68,1.1163
60,200.0,0.13205999999999998,279.37,305.78,1.1441
70,200.0,0.13641,287.73,315.01,1.1714
80,200.0,0.14074,296.25,324.4,1.1983
90,200.0,0.14504,304.92,333.93,1.2249
100,200.0,0.14933,313.74,343.6,1.2512
-5.38,240.0,0.0839,227.14,247.28,0.9346
0,240.0,0.08617000000000001,231.29,251.97,0.9519
10,240.0,0.09026,238.98,260.65,0.9831
20,240.0,0.09423,246.74,269.36,1.0134
30,240.0,0.09812,254.61,278.16,1.0429
